,value
0,269.61456292206776
1,264.9807755363698
2,259.2235672190111
3,259.5401942431424
4,257.57826922276865
5,258.9151962405659
6,267.9615014393344
7,278.40793899993025
8,279.5473360355208
9,278.5255920628178
10,282.4287842672953
11,275.086218539587
12,276.6676879828731
13,278.0879864826889
14,278.2688826163648
15,275.6827451990009
16,282.4443076428717
17,289.8112032792039
18,293.1441393538182
19,295.42764903539137
20,291.2037142073148
21,286.9040468810029
22,283.5641956229574
23,275.0622378039296
