,value
0,154.30854127541036
1,153.48779366263273
2,160.99314874534969
3,163.0618394167945
4,160.75498895759216
5,162.48370148453606
6,171.837590517348
7,186.34940409744516
8,179.39780913340053
9,184.39451990127165
10,179.4845711418175
11,176.12885547304418
12,179.62827431666534
13,173.58064347703797
14,176.40347138163216
15,176.2084253810592
16,178.48488525648014
17,181.51822095075056
18,191.6383131629682
19,190.34247286356725
20,188.05533253172618
21,186.96421361836943
22,181.80190039284338
23,171.08574579736157
