,value
0,163.49309769629537
1,162.73417077008213
2,161.0863520080225
3,160.87186357263525
4,160.93456400807682
5,162.9528483086451
6,164.9286966155581
7,167.80101532432434
8,174.11884019657884
9,174.68095173994098
10,172.52086034331168
11,173.59711719505677
12,171.33091898918755
13,170.2382267777492
14,167.89459487119515
15,165.407386736673
16,164.83056995817788
17,168.07685125750132
18,174.02730967832974
19,177.77516292126214
20,177.04742734817196
21,173.2974625092705
22,168.7930088540241
23,161.20686503937543
