,value
0,125.21309714324065
1,121.33501158707813
2,122.69816523806122
3,124.73739269328192
4,123.1778879879346
5,123.78725276381543
6,126.46550444922451
7,124.76519726303358
8,127.62663942736106
9,131.38894346991705
10,137.58797970696094
11,137.05487440449784
12,135.64004672129914
13,132.16072791990973
14,135.78599364502878
15,137.95619539375576
16,135.62840965551004
17,134.0321613209206
18,136.8100684586281
19,134.4570449859115
20,134.88855617576505
21,129.97944123571264
22,126.52800086648742
23,124.64865571830364
