,value
0,228.7134637647892
1,223.6799557437504
2,223.77645390951628
3,230.09274409047188
4,227.7436917786416
5,229.10773982832688
6,235.7677171835746
7,237.67186547071617
8,240.9786062524479
9,240.07404253941377
10,240.7025382623816
11,242.7356234153308
12,240.61007843064937
13,237.32592737959936
14,232.47201989547983
15,230.00496733143623
16,233.112269439906
17,235.41194425498443
18,237.75030951130145
19,235.2168712820551
20,236.36862366494128
21,234.90904552935623
22,233.93812410453145
23,229.44172623531196
