,value
0,125.2614496244421
1,120.58494749044702
2,119.24683491922386
3,119.65311040051574
4,123.63426007301916
5,122.2857727175081
6,123.813579798416
7,126.62188591427692
8,135.5638740672938
9,140.5373049472938
10,144.63119768677538
11,146.2986744144376
12,143.6149252542866
13,142.95284819487165
14,135.86941032269615
15,133.8066812393467
16,132.96486111349378
17,142.03918327250457
18,141.9416719206839
19,143.98912202755437
20,143.2729508417733
21,139.5246031502898
22,132.78953784776547
23,130.6422413813994
