,value
0,163.3682250236962
1,158.312751550996
2,159.11205582783546
3,161.6881160209801
4,159.53968553844308
5,160.7817578104023
6,168.75564820297893
7,182.60184603578244
8,170.08109019436
9,168.0779971698471
10,166.20354891772178
11,164.92222987381328
12,163.36323152273857
13,159.21937101029312
14,156.0729218261332
15,158.4371782314387
16,160.62663934442097
17,167.31756270051335
18,170.21009983889402
19,172.16060838662634
20,171.5481680739643
21,175.8202920745036
22,166.87406796940232
23,161.24213709591007
