,value
1,215.13266208244283
2,214.51885114352856
3,213.52238968027856
4,211.95136019403236
5,210.66496957796957
6,211.16103743929878
7,208.95767574948917
8,211.82407643721635
9,218.49396755983534
10,222.7389873692868
11,232.4177376028124
12,236.8627529964706
13,238.89273805429107
14,231.5884407777615
15,231.4404144344668
16,232.14410710330787
17,233.18830817739305
18,239.003379293226
19,238.8036448987359
20,240.48687089304278
21,234.50440209953058
22,231.36580985844398
23,223.38043825996297
24,218.9533192243492
