,value
1,232.5146095129178
2,229.9006098781061
3,226.98480277963085
4,228.59595282325915
5,229.23001008336328
6,225.87988943757472
7,232.7992071903017
8,248.39644169016844
9,242.51648057697477
10,243.2036421860676
11,248.07370494208732
12,241.77171021467538
13,237.31044913740004
14,233.35002370916482
15,236.1246895075717
16,244.18064648496704
17,244.6890103948813
18,248.71751531216032
19,252.55525275973912
20,249.15013305466428
21,246.17694904228472
22,241.54568230945674
23,238.14859375286534
24,229.07208346551892
