,value
0,182.09111011171672
1,180.7004893771599
2,176.0364733532126
3,176.08257534486268
4,177.83946149301394
5,174.50330889430356
6,178.28021330482662
7,187.7142194163679
8,190.2845472252431
9,193.77691409449756
10,192.05108671150268
11,184.50518775006543
12,182.07572539818656
13,181.04677968062313
14,184.86538108558568
15,187.13692734156663
16,188.83232726505267
17,194.44332403463684
18,202.39881884973187
19,208.4940525614823
20,201.942211190236
21,196.93236417716733
22,194.6180809581586
23,182.40282751599975
