,value
0,268.65748977876325
1,268.063743339868
2,263.498578031212
3,262.0869777182248
4,264.05895882639356
5,262.1402297002066
6,273.11197756534733
7,289.51918350066296
8,286.14017462991694
9,286.18608195693264
10,288.38453994030414
11,284.47607000993065
12,281.2924578921026
13,280.5169526828928
14,275.9634553545862
15,276.0734128028063
16,279.1887978122516
17,281.28431889648874
18,284.21161423095145
19,282.6497929808913
20,279.9794013691037
21,274.16678842757295
22,267.3015643305804
23,257.2105787281404
