,value
0,229.38833217575012
1,225.11993498172365
2,227.7443435727989
3,231.20561937796992
4,230.13197008728616
5,231.7673678040466
6,237.0287810526622
7,236.00166208165683
8,242.47961381611736
9,248.512769634634
10,249.9600645614828
11,255.3866408479138
12,259.48739474614115
13,263.03318344544533
14,260.44346857220177
15,263.3057645792195
16,257.2637412488998
17,244.14599414486037
18,245.51320284425853
19,242.4591794078692
20,241.69678411759247
21,237.38229273122695
22,235.4056851644154
23,229.8665076441412
