,value
0,255.02055931681787
1,251.8532174543231
2,253.8589997425428
3,252.06613438392984
4,252.7994599142789
5,256.3016315873993
6,264.6221074680953
7,268.7556902977819
8,274.55170650338925
9,279.62221130698947
10,288.3341000234962
11,292.3581119722212
12,292.34142363770286
13,292.8447184328955
14,290.57151880078675
15,294.52148789999484
16,300.1264039379755
17,300.343057381479
18,303.6082519256214
19,308.93677590987875
20,303.2821827952758
21,298.11447667320925
22,296.4248804551887
23,294.63020132215854
