name,tags,x,y,z,bas_demand
Junction-58993,,"354287.691107674385421","397341.989279455388896","17.190000000000001","0.432048"
Junction-26316,,"354681.439107408048585","396844.989280268491711","23.609999999999999","0.084663"
Junction-50781,,"354603.595857401960529","398133.968840606627055","36.239998000000000","0.000000"
Junction-36204,,"354588.911607399757486","398493.421590007550549","24.320000000000000","0.141031"
Junction-366,,"353993.096795357298106","398206.066153014136944","11.905001000000000","0.073111"
Junction-360,,"354045.661857826577034","398038.774653291096911","13.322000500000000","0.000000"
Junction-14293,,"354125.630107742792461","398575.956089888990391","27.949998999999998","0.000000"
Junction-14132,,"353304.180108434171416","396638.827280673780479","16.680486999999999","0.000000"
Junction-59581,,"357499.547105319623370","396730.922280339291319","48.423335999999999","0.000000"
Junction-15640,,"356001.103106372407638","398085.934278128261212","73.299999999999997","0.000000"
Junction-328,,"353877.684607993462123","397031.036529988923576","15.874992000000001","0.000000"
Junction-51686,,"356768.027105819026474","397800.622278572991490","83.840003999999993","0.291081"
Junction-655,,"354776.786982272460591","398287.799090342770796","40.239998000000000","0.096120"
Junction-473336,,"352759.965000003576279","396528.256999999284744","16.139246000000000","0.000000"
Junction-14402,,"354499.788044979271945","398195.776528012240306","42.033329999999999","0.026807"
Junction-55936,,"356063.539793817035388","398278.924777804815676","67.363335000000006","0.019528"
Junction-455507,,"355809.570982008124702","397128.903802903834730","43.170000000000002","0.112530"
Junction-26123,,"353884.653108019731008","396242.232281319855247","32.415398000000003","0.026586"
Junction-51691,,"356759.490105814184062","398046.231278159946669","75.015000000000001","0.770636"
Junction-456004,,"354934.868000000715256","396866.046000000089407","24.812500000000000","0.051177"
Junction-36185,,"354703.194107360322960","397449.634279253776185","23.719999999999999","0.000000"
Junction-27272,,"356111.216106255422346","398851.758276839274913","38.100000000000001","0.038802"
Junction-468581,,"355326.592169514275156","397126.111380712129176","42.840000000000003","0.080093"
Junction-457454,,"354373.971955646586139","395746.706439869769383","34.682369999999999","0.355324"
